id,is_duplicate
189998,0
189999,0
190000,1
190001,0
190002,1
190003,0
190004,1
190005,0
190006,1
190007,1
190008,0
190009,1
190010,0
190011,1
190012,1
190013,0
190014,0
190015,1
190016,1
190017,0
190018,0
190019,0
190020,1
190021,0
190022,0
190023,1
190024,1
190025,0
190026,1
190027,0
190028,0
190029,1
190030,0
190031,1
190032,0
190033,0
190034,0
190035,1
190036,0
190037,0
190038,1
190039,1
190040,0
190041,0
190042,0
190043,0
190044,1
190045,1
190046,0
190047,1
190048,1
190049,1
190050,1
190051,1
190052,0
190053,0
190054,0
190055,1
190056,1
190057,0
190058,1
190059,1
190060,1
190061,0
190062,1
190063,0
190064,0
190065,0
190066,0
190067,1
190068,0
190069,0
190070,0
190071,0
190072,0
190073,1
190074,0
190075,0
190076,1
190077,1
190078,0
190079,0
190080,1
190081,0
190082,0
190083,0
190084,1
190085,0
190086,1
190087,0
190088,0
190089,1
190090,0
190091,1
190092,1
190093,1
190094,0
190095,0
190096,1
190097,0
190098,0
190099,1
190100,0
190101,0
190102,1
190103,0
190104,1
190105,1
190106,1
190107,0
190108,0
190109,0
190110,0
190111,0
190112,0
190113,1
190114,1
190115,0
190116,0
190117,1
190118,1
190119,1
190120,1
190121,0
190122,1
190123,1
190124,0
190125,0
190126,0
190127,0
190128,1
190129,1
190130,1
190131,1
190132,0
190133,1
190134,1
190135,1
190136,0
190137,0
190138,1
190139,0
190140,0
190141,1
190142,0
190143,1
190144,1
190145,0
190146,0
190147,1
190148,0
190149,1
190150,1
190151,1
190152,0
190153,0
190154,0
190155,0
190156,1
190157,1
190158,0
190159,0
190160,0
190161,0
190162,0
190163,1
190164,0
190165,1
190166,0
190167,1
190168,1
190169,0
190170,1
190171,0
190172,1
190173,0
190174,1
190175,0
190176,1
190177,0
190178,1
190179,0
190180,1
190181,0
190182,1
190183,0
190184,0
190185,0
190186,0
190187,0
190188,1
190189,0
190190,0
190191,1
190192,1
190193,0
190194,0
190195,1
190196,1
190197,1
190198,0
190199,0
190200,0
190201,1
190202,1
190203,1
190204,0
190205,0
190206,0
190207,1
190208,0
190209,1
190210,0
190211,1
190212,0
190213,1
190214,0
190215,1
190216,0
190217,1
190218,1
190219,0
190220,0
190221,1
190222,1
190223,1
190224,1
190225,1
190226,0
190227,1
190228,0
190229,1
190230,0
190231,1
190232,0
190233,1
190234,1
190235,1
190236,0
190237,0
190238,0
190239,1
190240,1
190241,0
190242,1
190243,0
190244,1
190245,0
190246,0
190247,0
190248,1
190249,0
190250,0
190251,0
190252,0
190253,1
190254,0
190255,0
190256,1
190257,0
190258,1
190259,0
190260,1
190261,1
190262,0
190263,0
190264,0
190265,0
190266,0
190267,0
190268,0
190269,0
190270,1
190271,1
190272,1
190273,1
190274,1
190275,1
190276,1
190277,0
190278,1
190279,0
190280,1
190281,0
190282,1
190283,1
190284,1
190285,0
190286,1
190287,1
190288,0
190289,0
190290,1
190291,0
190292,0
190293,0
190294,0
190295,0
190296,0
190297,0
190298,0
190299,1
190300,0
190301,1
190302,1
190303,1
190304,0
190305,1
190306,0
190307,0
190308,1
190309,0
190310,0
190311,1
190312,0
190313,0
190314,0
190315,0
190316,0
190317,0
190318,0
190319,0
190320,1
190321,1
190322,0
190323,0
190324,0
190325,0
190326,0
190327,1
190328,0
190329,0
190330,0
190331,0
190332,0
190333,0
190334,1
190335,1
190336,0
190337,1
190338,0
190339,0
190340,1
190341,1
190342,0
190343,0
190344,1
190345,1
190346,0
190347,0
190348,0
190349,1
190350,1
190351,0
190352,0
190353,1
190354,1
190355,0
190356,0
190357,0
190358,1
190359,0
190360,1
190361,0
190362,0
190363,1
190364,0
190365,1
190366,0
190367,0
190368,0
190369,1
190370,1
190371,0
190372,1
190373,0
190374,0
190375,0
190376,0
190377,0
190378,1
190379,1
190380,0
190381,1
190382,1
190383,1
190384,1
190385,0
190386,0
190387,0
190388,0
190389,0
190390,0
190391,0
190392,0
190393,0
190394,1
190395,0
190396,0
190397,1
190398,0
190399,1
190400,0
190401,1
190402,0
190403,0
190404,0
190405,0
